Campaign,App asset,App asset type,Conversions,Currency code,Cost,Installs,In-app actions,View-through conv.,Conv. rate,Conv. rate (install),Conv. rate (in-app action),Installs per (1000) impressions,Video played to 25%,Video played to 50%,Video played to 75%,Video played to 100%
iOS Mexico,Viajar es más fácil y seguro con SLYNUMBER. Obtén un número real,Description,1,USD,5.19,1,0,0,10.00%,10.00%,0.00%,3.45,0,0,0,0
IOS English SEA,Use SLYNUMBER to sell online,Headline,6,USD,21.51,5,1,0,8.11%,6.76%,1.35%,2.57,0,0,0,0
IOS English SEA,Use SLYNUMBER for Travel;https://www.youtube.com/watch?v=4hLsTNLcijI,YouTube video,44,USD,221.43,35,9,0,0.07%,0.05%,0.01%,0.05,27.09%,13.30%,7.71%,5.70%
Android Video Only,Use SLYNUMBER for Selling Online;https://www.youtube.com/watch?v=RXxereD46r0,YouTube video,0,USD,0,0,0,0,0,0,0,0,0,0,0,0
IOS English SEA,Virtual 2nd Phone Number,Headline,46,USD,206.86,36,10,0,13.11%,10.26%,2.85%,9.59,0,0,0,0
Android Video Only,Use SLYNUMBER for Dating;https://www.youtube.com/watch?v=msKwnTxDcOs,YouTube video,0,USD,0,0,0,0,0,0,0,0,0,0,0,0
iOS Brazil,SLYNUMBER - Seu segundo número de celular;https://www.youtube.com/watch?v=Ebd7Piqlf_k,YouTube video,0,USD,2.44,0,0,0,0.00%,0.00%,0.00%,0,17.57%,12.41%,6.50%,2.68%
Android Video Only,remove me,Description,0,USD,0,0,0,0,0,0,0,0,0,0,0,0
IOS English SEA,Use SLYNUMBER for privacy,Headline,4,USD,17.71,2,2,0,2.60%,1.30%,1.30%,0.47,0,0,0,0
IOS English India,SLYNUMBER is a virtual mobile number app that provides real phone numbers.,Description,0,USD,0.17,0,0,0,0.00%,0.00%,0.00%,0,0,0,0,0
iOS Colombia venzuela,Tu privacidad es lo más importante SLYNUMBER puedes mantener tu número personal en secreto,Description,3,USD,31.69,3,0,0,3.70%,3.70%,0.00%,2.21,0,0,0,0
IOS English India,Travel Hack: Global Data + U.S. Number in ONE App ✈️🌍 | SLYNUMBER #Shorts;https://www.youtube.com/watch?v=lPcQB1Koqzg,YouTube video,0,USD,10.75,0,0,0,0.00%,0.00%,0.00%,0,92.55%,89.49%,86.61%,67.86%
IOS English EU,Get a virtual phone number that actually works on your phone.,Description,87,USD,443.85,72,15,0,14.24%,11.78%,2.45%,6.75,0,0,0,0
