Campaign,Campaign state,Campaign type,Country/Territory (User location),Clicks,Impr.,CTR,Currency code,Avg. CPC,Cost,Conversions,Cost / conv.,Conv. rate
IOS English SEA,Enabled,App,India,"111,646","7,671,971",1.46%,USD,0.07,7291.03,"2,373.00",3.07,0.12%
iOS Spanish,Enabled,App,Dominican Republic,"24,101","1,413,808",1.70%,USD,0.08,1906.06,849,2.25,0.28%
IOS English SEA,Enabled,App,Vietnam,"18,262","448,440",4.07%,USD,0.06,1181.52,260,4.54,0.22%
Android Video Only,Enabled,App,United States,"12,675","223,252",5.68%,USD,0.32,3997.82,"7,889.00",0.51,9.81%
iOS Spanish,Enabled,App,Venezuela,"12,607","681,898",1.85%,USD,0.07,820.67,363,2.26,0.27%
iOS Dominica republic,Enabled,App,Dominican Republic,"11,298","338,118",3.34%,USD,0.05,541.95,132,4.11,0.09%
IOS English SEA,Enabled,App,Indonesia,"10,104","242,180",4.17%,USD,0.03,267.75,70,3.83,0.15%
iOS Video Only,Enabled,App,United States,"9,891","643,545",1.54%,USD,0.66,6488.8,"1,111.00",5.84,0.66%
iOS Spanish,Enabled,App,Colombia,"9,267","1,081,580",0.86%,USD,0.11,1061.81,358,2.97,0.22%
iOS Colombia venzuela,Enabled,App,Venezuela,"8,759","281,286",3.11%,USD,0.04,345.33,71,4.86,0.07%
IOS English SEA,Enabled,App,Philippines,"8,602","252,321",3.41%,USD,0.05,472.92,93,5.09,0.11%
iOS Spanish,Enabled,App,Ecuador,"7,930","734,060",1.08%,USD,0.09,695.6,251,2.77,0.19%
iOS Spanish,Enabled,App,Honduras,"6,871","419,870",1.64%,USD,0.07,495.09,198,2.5,0.25%
IOS English EU,Enabled,App,Turkiye,"6,532","140,806",4.64%,USD,0.19,1244.75,286,4.35,1.06%
iOS Colombia venzuela,Enabled,App,Colombia,"5,904","249,815",2.36%,USD,0.06,383.39,67,5.72,0.08%
iOS Spanish,Enabled,App,Mexico,"5,326","371,797",1.43%,USD,0.15,795.36,261,3.05,0.57%
IOS English India,Enabled,App,India,"4,572","210,207",2.17%,USD,0.05,207.85,13,15.99,0.02%
IOS English SEA,Enabled,App,Thailand,"4,296","124,333",3.46%,USD,0.06,261.98,26,10.08,0.12%
iOS Spanish,Enabled,App,Guatemala,"4,096","288,279",1.42%,USD,0.07,302.86,120,2.52,0.23%
iOS Spanish,Enabled,App,Haiti,"3,878","118,649",3.27%,USD,0.04,172.48,88,1.96,0.21%
iOS Spanish,Enabled,App,Argentina,"3,501","710,332",0.49%,USD,0.12,409.98,104,3.94,0.16%
iOS Spanish,Enabled,App,Nicaragua,"3,141","181,820",1.73%,USD,0.07,214.87,88,2.44,0.26%
iOS Mexico,Enabled,App,Mexico,"3,057","65,943",4.64%,USD,0.09,269.65,59,4.57,0.33%
iOS Spanish,Enabled,App,Peru,"2,691","395,019",0.68%,USD,0.11,302.47,133,2.27,0.29%
IOS English SEA,Enabled,App,Malaysia,"2,584","107,004",2.41%,USD,0.07,178.72,43,4.16,0.18%
IOS English EU,Enabled,App,Serbia,"2,346","74,464",3.15%,USD,0.12,288.45,102,2.83,0.53%
iOS Spanish,Enabled,App,Paraguay,"2,152","244,846",0.88%,USD,0.06,131.54,45,2.92,0.12%
Android Video Only,Enabled,App,Canada,"2,090","38,540",5.42%,USD,0.22,464.95,817,0.57,5.12%
iOS Spanish,Enabled,App,Panama,"1,990","226,549",0.88%,USD,0.09,169.5,44,3.85,0.13%
iOS Spanish,Enabled,App,El Salvador,"1,836","179,070",1.03%,USD,0.09,170.04,85,2,0.32%
iOS Spanish,Enabled,App,Chile,"1,805","295,264",0.61%,USD,0.13,240.28,59,4.07,0.20%
iOS Spanish,Enabled,App,Costa Rica,"1,762","194,787",0.90%,USD,0.12,204.77,69,2.97,0.24%
iOS Spanish,Enabled,App,Bolivia,"1,733","165,852",1.04%,USD,0.06,99.18,32,3.1,0.11%
Keywords,Enabled,Search,United States,"1,497","20,916",7.16%,USD,2.45,3666.78,63.5,57.74,4.24%
Performance Max,Enabled,Performance Max,United States,"1,367","12,866",10.62%,USD,2.04,2789.05,233.57,11.94,11.07%
IOS English EU,Enabled,App,Italy,"1,263","22,774",5.55%,USD,0.3,379.89,77,4.93,1.53%
IOS English EU,Enabled,App,United Kingdom,"1,174","21,856",5.37%,USD,0.76,891.9,215,4.15,6.90%
IOS English EU,Enabled,App,France,"1,041","23,376",4.45%,USD,0.42,432.87,75,5.77,1.86%
iOS Spanish,Enabled,App,Uruguay,"1,002","100,971",0.99%,USD,0.1,97.85,39,2.51,0.26%
iOS Spanish,Enabled,App,Guyana,945,"33,033",2.86%,USD,0.06,59.24,33,1.8,0.25%
Keywords,Enabled,Search,Turkiye,842,"16,503",5.10%,USD,0.6,506.41,11.5,44.04,1.37%
Keywords,Enabled,Search,Indonesia,746,"8,607",8.67%,USD,0.57,426.19,3.5,121.77,0.47%
iOS Spanish,Enabled,App,Suriname,745,"21,017",3.54%,USD,0.04,28.55,13,2.2,0.15%
iOS Brazil,Enabled,App,Brazil,661,"17,716",3.73%,USD,0.09,61.96,10,6.2,0.34%
Competitive keywords,Enabled,Search,United States,596,"8,797",6.78%,USD,4.29,2555.47,13.93,183.42,2.34%
Performance Max,Enabled,Performance Max,Turkiye,571,"16,838",3.39%,USD,0.42,241.7,2.5,96.68,0.25%
IOS English EU,Enabled,App,Czechia,539,"6,412",8.41%,USD,0.18,95.52,16,5.97,1.12%
IOS English EU,Enabled,App,Croatia,494,"6,934",7.12%,USD,0.19,92.56,16,5.78,0.77%
